category_name,category_id
nishiki-e,http://www.wikidata.org/entity/Q1683337
Junk art,http://www.wikidata.org/entity/Q1713618
Ringerike style,http://www.wikidata.org/entity/Q1726564
Urnes style,http://www.wikidata.org/entity/Q1726609
Capitalist realism,http://www.wikidata.org/entity/Q1728571
Karelianism,http://www.wikidata.org/entity/Q1729220
Fantastic Realism,http://www.wikidata.org/entity/Q1745141
severe style,http://www.wikidata.org/entity/Q1777842
concretism,http://www.wikidata.org/entity/Q1781785
Lowbrow,http://www.wikidata.org/entity/Q1784728
Tonalism,http://www.wikidata.org/entity/Q1786363
Neues Sehen,http://www.wikidata.org/entity/Q1786545
Laren School,http://www.wikidata.org/entity/Q1805902
ledger art,http://www.wikidata.org/entity/Q1811620
Q1813036,http://www.wikidata.org/entity/Q1813036
Q1814889,http://www.wikidata.org/entity/Q1814889
Bruges School,http://www.wikidata.org/entity/Q1862938
Russian symbolism,http://www.wikidata.org/entity/Q1879488
straight photography,http://www.wikidata.org/entity/Q1886249
Czech Cubism,http://www.wikidata.org/entity/Q1920546
Merz,http://www.wikidata.org/entity/Q1922216
Scapigliatura,http://www.wikidata.org/entity/Q1935489
Molse School,http://www.wikidata.org/entity/Q1940971
Stroganov School,http://www.wikidata.org/entity/Q1968335
Neukunstgruppe,http://www.wikidata.org/entity/Q1980819
Flemish Baroque painting,http://www.wikidata.org/entity/Q1994273
return to order,http://www.wikidata.org/entity/Q2004358
Visigothic art,http://www.wikidata.org/entity/Q2008210
Brabant fauvism,http://www.wikidata.org/entity/Q2009002
surimono,http://www.wikidata.org/entity/Q2094039
Pioneer Group,http://www.wikidata.org/entity/Q2096208
Kapists,http://www.wikidata.org/entity/Q2102557
Antwerp school,http://www.wikidata.org/entity/Q2107376
psychogeography,http://www.wikidata.org/entity/Q2115993
Norwich School of painters,http://www.wikidata.org/entity/Q2141991
Swiss School,http://www.wikidata.org/entity/Q2143426
Q2147243,http://www.wikidata.org/entity/Q2147243
New Hague School,http://www.wikidata.org/entity/Q2147940
Q2226071,http://www.wikidata.org/entity/Q2226071
maximalism,http://www.wikidata.org/entity/Q2246318
Sestigers,http://www.wikidata.org/entity/Q2247333
Q2256886,http://www.wikidata.org/entity/Q2256886
Biomorphism,http://www.wikidata.org/entity/Q2262741
Neo-figurative,http://www.wikidata.org/entity/Q2268037
English Renaissance,http://www.wikidata.org/entity/Q2272912
Movimento Spaziale,http://www.wikidata.org/entity/Q2297997
Generation of '50,http://www.wikidata.org/entity/Q2302005
Regong arts,http://www.wikidata.org/entity/Q2306483
Mao-Spontex,http://www.wikidata.org/entity/Q2312119
geometric abstraction,http://www.wikidata.org/entity/Q2316866
Q2317226,http://www.wikidata.org/entity/Q2317226
Q2345527,http://www.wikidata.org/entity/Q2345527
Atmospheric impressionism,http://www.wikidata.org/entity/Q2350129
Toyism,http://www.wikidata.org/entity/Q2362424
artistic indianism,http://www.wikidata.org/entity/Q2368408
postminimalism,http://www.wikidata.org/entity/Q2394116
interactive art,http://www.wikidata.org/entity/Q2394336
fairy painting,http://www.wikidata.org/entity/Q2405999
Daedalic style,http://www.wikidata.org/entity/Q2415073
Q2435641,http://www.wikidata.org/entity/Q2435641
political pop,http://www.wikidata.org/entity/Q2462197
German Romanticism,http://www.wikidata.org/entity/Q2477112
Umbrian school,http://www.wikidata.org/entity/Q2478178
nadaism,http://www.wikidata.org/entity/Q2496232
Off-Off-Broadway,http://www.wikidata.org/entity/Q2501058
didacticism,http://www.wikidata.org/entity/Q2502127
Vendel style,http://www.wikidata.org/entity/Q2512744
business art,http://www.wikidata.org/entity/Q2522485
Madhubani,http://www.wikidata.org/entity/Q2547125
net.art,http://www.wikidata.org/entity/Q2553758
relational art,http://www.wikidata.org/entity/Q2566149
visual poetry,http://www.wikidata.org/entity/Q2578278
fundamentele kunst,http://www.wikidata.org/entity/Q2584646
Synchromism,http://www.wikidata.org/entity/Q2615798
Q2710594,http://www.wikidata.org/entity/Q2710594
Baroque sculpture,http://www.wikidata.org/entity/Q2763408
Scottish Renaissance,http://www.wikidata.org/entity/Q2783150
africanism,http://www.wikidata.org/entity/Q2826174
Aizuri-e,http://www.wikidata.org/entity/Q2828843
Aka-e,http://www.wikidata.org/entity/Q2828892
Anti-poetry,http://www.wikidata.org/entity/Q2853335
cybernetic art,http://www.wikidata.org/entity/Q2864597
